"","Compound name","Floxed-ND1","Floxed-ND2","Floxed-ND3","Floxed-ND4","Floxed-HF1","Floxed-HF2","Floxed-HF3","Floxed-HF4","cKO-ND1","cKO-ND2","cKO-ND3","cKO-ND4","cKO-HF1","cKO-HF2","cKO-HF3","cKO-HF4"
"51","2-Hydroxybutyric acid",2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,0.000145368812260537,0.000140457490118577,7.75293055555554e-05
"52","2-Hydroxyglutaric acid",0.000465981007194245,0.000450395257142856,0.00072707934163701,0.000541995094696969,0.0010726098401421,0.000851088142589116,0.0005973345256917,0.001077080234375,0.000244807844202898,0.000273467404580153,0.000333594266666666,0.00117831971014493,0.000218678359073359,0.000621131111111112,0.000279695909090909,0.00096880470238095
"53","2-Hydroxyhexadecanoic acid",7.63734765625e-05,6.09660441767069e-05,5.23866733067729e-05,0.000106643264540337,0.000918505064220183,0.00148951332733813,0.00082774617702448,0.000395028291814946,0.000187492360248447,0.00010683265037594,0.000205156036363637,0.000159994340659341,0.00230471690661478,0.00306975145631067,0.000976040565371025,0.00109519938735178
"54","2-Hydroxyoctadecanoic acid",1.789013671875e-05,2.37473092369478e-05,1.87438645418327e-05,6.12379549718572e-05,0.000139263944954128,0.00029361356115108,0.000184593483992467,8.44562989323842e-05,0.000128032753623188,9.54268233082706e-05,8.23689090909092e-05,0.000126417967032967,0.00056971387159533,0.000803734252427183,0.000179466130742049,0.000251928260869566
"55","2-Hydroxypyridine",2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,1.89699618320611e-05,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16
"56","2-Hydroxyvaleric acid
2-Hydroxyisovaleric acid",0.000179263992805756,4.95990095238094e-05,0.000224286868327402,0.000152170587121212,0.000102608969804618,0.000118044765478424,5.0633300395257e-05,5.698404296875e-05,0.000257581829710145,0.000220090209923665,0.000150580742857142,8.19651992753623e-05,0.000175939343629344,0.000510819616858239,0.000155828300395257,6.01413095238094e-05
"57","2-Isopropylmalic acid",0.000181515575539569,0.000172715580952381,0.000186871886120996,6.11772159090908e-05,5.81756127886323e-05,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,0.00022303277173913,2.22044604925031e-16,4.86491619047618e-05,5.79264311594203e-05,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,5.79600198412697e-05
"58","2-Methylcholine",2.05412050359713e-05,1.9439219047619e-05,1.65710320284697e-05,2.73679166666666e-05,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.01203442028985e-05,1.65489694656489e-05,1.91456952380952e-05,1.4202518115942e-05,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16
"59","2-Methylserine",3.9300629496403e-05,2.34033714285714e-05,2.79708540925267e-05,3.69425946969696e-05,7.54265719360569e-05,8.6167673545966e-05,2.22044604925031e-16,7.32084375e-05,3.39458695652174e-05,4.03749045801528e-05,4.94046285714285e-05,3.49151811594203e-05,6.39007142857143e-05,7.36141187739465e-05,4.43629446640317e-05,2.97588095238095e-05
"60","2-Methylthiazolidine-4-carboxylic acid",1.11542625899281e-05,1.08308952380952e-05,1.2011103202847e-05,3.91156818181817e-05,6.47336944937833e-05,7.1155290806754e-05,4.79213833992096e-05,0.0002009812890625,1.65939311594203e-05,2.22044604925031e-16,4.96465714285713e-05,1.09321014492754e-05,6.9275888030888e-05,6.90181609195404e-05,7.94960079051385e-05,9.2873472222222e-05
